329	LYNDA	0.05	173082
330	MADELINE	0.05	169816
331	AMELIA	0.05	169816
332	ALBERTA	0.05	169816
333	GENEVIEVE	0.05	166550
334	MONIQUE	0.05	166550
335	JODI	0.05	166550
336	JANIE	0.05	166550
337	MAGGIE	0.05	166550
338	KAYLA	0.05	166550
339	SONYA	0.05	166550
340	JAN	0.05	166550
341	LEE	0.05	166550
342	KRISTINE	0.05	166550
343	CANDACE	0.05	166550
344	FANNIE	0.05	163285
345	MARYANN	0.05	163285
346	OPAL	0.05	163285
347	ALISON	0.05	163285
348	YVETTE	0.05	163285
349	MELODY	0.05	163285
350	LUZ	0.05	160019
351	SUSIE	0.05	160019
352	OLIVIA	0.05	160019
353	FLORA	0.05	160019
354	SHELLEY	0.05	160019
355	KRISTY	0.05	156753
356	MAMIE	0.05	156753
357	LULA	0.05	156753
358	LOLA	0.05	156753
359	VERNA	0.05	156753
360	BEULAH	0.05	156753
361	ANTOINETTE	0.05	156753
362	CANDICE	0.05	150222
363	JUANA	0.05	150222
364	JEANNETTE	0.05	150222
365	PAM	0.05	150222
366	KELLI	0.05	150222
367	HANNAH	0.05	146956
368	WHITNEY	0.05	146956
369	BRIDGET	0.05	146956
370	KARLA	0.04	143690
371	CELIA	0.04	143690
372	LATOYA	0.04	140425
373	PATTY	0.04	140425
374	SHELIA	0.04	140425
375	GAYLE	0.04	140425
376	DELLA	0.04	140425
377	VICKY	0.04	140425
378	LYNNE	0.04	140425
379	SHERI	0.04	137159
380	MARIANNE	0.04	137159
381	KARA	0.04	133893
382	JACQUELYN	0.04	133893
383	ERMA	0.04	133893
384	BLANCA	0.04	133893
385	MYRA	0.04	130628
386	LETICIA	0.04	130628
387	PAT	0.04	130628
388	KRISTA	0.04	130628
389	ROXANNE	0.04	130628
390	ANGELICA	0.04	127362
391	JOHNNIE	0.04	127362
392	ROBYN	0.04	127362
393	FRANCIS	0.04	127362
394	ADRIENNE	0.04	127362
395	ROSALIE	0.04	127362
396	ALEXANDRA	0.04	127362
397	BROOKE	0.04	127362
398	BETHANY	0.04	127362
399	SADIE	0.04	127362
400	BERNADETTE	0.04	127362
401	TRACI	0.04	124096
402	JODY	0.04	124096
403	KENDRA	0.04	124096
404	JASMINE	0.04	124096
405	NICHOLE	0.04	124096
406	RACHAEL	0.04	124096
407	CHELSEA	0.04	124096
408	MABLE	0.04	124096
409	ERNESTINE	0.04	124096
410	MURIEL	0.04	124096
411	MARCELLA	0.04	120831
412	ELENA	0.04	120831
413	KRYSTAL	0.04	120831
414	ANGELINA	0.04	120831
415	NADINE	0.04	117565
416	KARI	0.04	117565
417	ESTELLE	0.04	117565
418	DIANNA	0.04	117565
419	PAULETTE	0.04	117565
420	LORA	0.04	117565
421	MONA	0.04	114299
422	DOREEN	0.04	114299
423	ROSEMARIE	0.04	114299
424	ANGEL	0.04	114299
425	DESIREE	0.04	114299
426	ANTONIA	0.04	114299
427	HOPE	0.03	111034
428	GINGER	0.03	111034
429	JANIS	0.03	111034
430	BETSY	0.03	111034
431	CHRISTIE	0.03	111034
432	FREDA	0.03	111034
433	MERCEDES	0.03	107768
434	MEREDITH	0.03	107768
435	LYNETTE	0.03	107768
436	TERI	0.03	107768
437	CRISTINA	0.03	107768
438	EULA	0.03	107768
439	LEIGH	0.03	104502
440	MEGHAN	0.03	104502
441	SOPHIA	0.03	104502
442	ELOISE	0.03	104502
443	ROCHELLE	0.03	104502
444	GRETCHEN	0.03	104502
445	CECELIA	0.03	104502
446	RAQUEL	0.03	101236
447	HENRIETTA	0.03	101236
448	ALYSSA	0.03	101236
449	JANA	0.03	101236
450	KELLEY	0.03	101236
451	GWEN	0.03	101236
452	KERRY	0.03	101236
453	JENNA	0.03	97971
454	TRICIA	0.03	97971
455	LAVERNE	0.03	97971
456	OLIVE	0.03	97971
457	ALEXIS	0.03	97971
458	TASHA	0.03	97971
459	SILVIA	0.03	94705
460	ELVIRA	0.03	94705
461	CASEY	0.03	94705
462	DELIA	0.03	94705
463	SOPHIE	0.03	94705
464	KATE	0.03	94705
465	PATTI	0.03	94705
466	LORENA	0.03	94705
467	KELLIE	0.03	94705
468	SONJA	0.03	94705
469	LILA	0.03	94705
470	LANA	0.03	94705
471	DARLA	0.03	94705
472	MAY	0.03	94705
473	MINDY	0.03	94705
474	ESSIE	0.03	94705
475	MANDY	0.03	94705
476	LORENE	0.03	91439
477	ELSA	0.03	91439
478	JOSEFINA	0.03	91439
479	JEANNIE	0.03	91439
480	MIRANDA	0.03	91439
481	DIXIE	0.03	91439
482	LUCIA	0.03	91439
483	MARTA	0.03	91439
484	FAITH	0.03	91439
485	LELA	0.03	91439
486	JOHANNA	0.03	91439
487	SHARI	0.03	91439
488	CAMILLE	0.03	91439
489	TAMI	0.03	88174
490	SHAWNA	0.03	88174
491	ELISA	0.03	88174
492	EBONY	0.03	88174
493	MELBA	0.03	88174
494	ORA	0.03	88174
495	NETTIE	0.03	88174
496	TABITHA	0.03	88174
497	OLLIE	0.03	88174
498	JAIME	0.03	88174
499	WINIFRED	0.03	88174
500	KRISTIE	0.03	88174
501	MARINA	0.03	88174
502	ALISHA	0.03	88174
503	AIMEE	0.03	88174
504	RENA	0.03	88174
505	MYRNA	0.03	84908
506	MARLA	0.03	84908
507	TAMMIE	0.03	84908
508	LATASHA	0.03	84908
509	BONITA	0.03	84908
510	PATRICE	0.03	84908
511	RONDA	0.03	84908
512	SHERRIE	0.03	84908
513	ADDIE	0.03	84908
514	FRANCINE	0.03	81642
515	DELORIS	0.03	81642
516	STACIE	0.03	81642
517	ADRIANA	0.03	81642
518	CHERI	0.03	81642
519	SHELBY	0.03	81642
520	ABIGAIL	0.03	81642
521	CELESTE	0.03	81642
522	JEWEL	0.03	81642
523	CARA	0.03	81642
524	ADELE	0.03	81642
525	REBEKAH	0.03	81642
526	LUCINDA	0.03	81642
527	DORTHY	0.03	81642
528	CHRIS	0.02	78377
529	EFFIE	0.02	78377
530	TRINA	0.02	78377
531	REBA	0.02	78377
532	SHAWN	0.02	78377
533	SALLIE	0.02	78377
534	AURORA	0.02	78377
535	LENORA	0.02	78377
536	ETTA	0.02	78377
537	LOTTIE	0.02	78377
538	KERRI	0.02	78377
539	TRISHA	0.02	78377
540	NIKKI	0.02	78377
541	ESTELLA	0.02	78377
542	FRANCISCA	0.02	78377
543	JOSIE	0.02	78377
544	TRACIE	0.02	78377
545	MARISSA	0.02	78377
546	KARIN	0.02	78377
547	BRITTNEY	0.02	78377
548	JANELLE	0.02	78377
549	LOURDES	0.02	78377
550	LAUREL	0.02	78377
551	HELENE	0.02	78377
552	FERN	0.02	78377
553	ELVA	0.02	78377
554	CORINNE	0.02	78377
555	KELSEY	0.02	78377
556	INA	0.02	75111
557	BETTIE	0.02	75111
558	ELISABETH	0.02	75111
559	AIDA	0.02	75111
560	CAITLIN	0.02	75111
561	INGRID	0.02	75111
562	IVA	0.02	75111
563	EUGENIA	0.02	75111
564	CHRISTA	0.02	75111
565	GOLDIE	0.02	75111
566	CASSIE	0.02	75111
567	MAUDE	0.02	75111
568	JENIFER	0.02	75111
569	THERESE	0.02	71845
570	FRANKIE	0.02	71845
571	DENA	0.02	71845
572	LORNA	0.02	71845
573	JANETTE	0.02	71845
574	LATONYA	0.02	71845
575	CANDY	0.02	71845
576	MORGAN	0.02	71845
577	CONSUELO	0.02	71845
578	TAMIKA	0.02	71845
579	ROSETTA	0.02	71845
580	DEBORA	0.02	71845
581	CHERIE	0.02	71845
582	POLLY	0.02	71845
583	DINA	0.02	71845
584	JEWELL	0.02	68580
585	FAY	0.02	68580
586	JILLIAN	0.02	68580
587	DOROTHEA	0.02	68580
588	NELL	0.02	68580
589	TRUDY	0.02	68580
590	ESPERANZA	0.02	68580
591	PATRICA	0.02	68580
592	KIMBERLEY	0.02	68580
593	SHANNA	0.02	68580
594	HELENA	0.02	68580
595	CAROLINA	0.02	68580
596	CLEO	0.02	68580
597	STEFANIE	0.02	68580
598	ROSARIO	0.02	65314
599	OLA	0.02	65314
600	JANINE	0.02	65314
601	MOLLIE	0.02	65314
602	LUPE	0.02	65314
603	ALISA	0.02	65314
604	LOU	0.02	65314
605	MARIBEL	0.02	65314
606	SUSANNE	0.02	65314
607	BETTE	0.02	62048
608	SUSANA	0.02	62048
609	ELISE	0.02	62048
610	CECILE	0.02	62048
611	ISABELLE	0.02	62048
612	LESLEY	0.02	62048
613	JOCELYN	0.02	62048
614	PAIGE	0.02	62048
615	JONI	0.02	62048
616	RACHELLE	0.02	62048
617	LEOLA	0.02	62048
618	DAPHNE	0.02	62048
619	ALTA	0.02	62048
620	ESTER	0.02	62048
621	PETRA	0.02	62048
622	GRACIELA	0.02	62048
623	IMOGENE	0.02	62048
624	JOLENE	0.02	62048
625	KEISHA	0.02	62048
626	LACEY	0.02	58782
627	GLENNA	0.02	58782
628	GABRIELA	0.02	58782
629	KERI	0.02	58782
630	URSULA	0.02	58782
631	LIZZIE	0.02	58782
632	KIRSTEN	0.02	58782
633	SHANA	0.02	58782
634	ADELINE	0.02	58782
635	MAYRA	0.02	58782
636	JAYNE	0.02	58782
637	JACLYN	0.02	58782
638	GRACIE	0.02	58782
639	SONDRA	0.02	58782
640	CARMELA	0.02	58782
641	MARISA	0.02	58782
642	ROSALIND	0.02	58782
643	CHARITY	0.02	58782
644	TONIA	0.02	58782
645	BEATRIZ	0.02	58782
646	MARISOL	0.02	58782
647	CLARICE	0.02	58782
648	JEANINE	0.02	55517
649	SHEENA	0.02	55517
650	ANGELINE	0.02	55517
651	FRIEDA	0.02	55517
652	LILY	0.02	55517
653	ROBBIE	0.02	55517
654	SHAUNA	0.02	55517
655	MILLIE	0.02	55517
656	CLAUDETTE	0.02	55517
657	CATHLEEN	0.02	55517
658	ANGELIA	0.02	55517
659	GABRIELLE	0.02	55517
660	AUTUMN	0.02	55517
661	KATHARINE	0.02	55517
662	SUMMER	0.02	55517
663	JODIE	0.02	55517
664	STACI	0.02	55517
665	LEA	0.02	55517
666	CHRISTI	0.02	55517
667	JIMMIE	0.02	55517
668	JUSTINE	0.02	55517
669	ELMA	0.02	55517
670	LUELLA	0.02	55517
671	MARGRET	0.02	55517
672	DOMINIQUE	0.02	52251
673	SOCORRO	0.02	52251
674	RENE	0.02	52251
675	MARTINA	0.02	52251
676	MARGO	0.02	52251
677	MAVIS	0.02	52251
678	CALLIE	0.02	52251
679	BOBBI	0.02	52251
680	MARITZA	0.02	52251
681	LUCILE	0.02	52251
682	LEANNE	0.02	52251
683	JEANNINE	0.02	52251
684	DEANA	0.02	52251
685	AILEEN	0.02	52251
686	LORIE	0.02	52251
687	LADONNA	0.02	52251
688	WILLA	0.02	52251
689	MANUELA	0.02	52251
690	GALE	0.02	52251
691	SELMA	0.02	52251
692	DOLLY	0.02	52251
693	SYBIL	0.02	52251
694	ABBY	0.02	52251
695	LARA	0.02	52251
696	DALE	0.02	52251
697	IVY	0.02	52251
698	DEE	0.02	52251
699	WINNIE	0.02	52251
700	MARCY	0.02	52251
701	LUISA	0.02	52251
702	JERI	0.02	48985
703	MAGDALENA	0.02	48985
704	OFELIA	0.02	48985
705	MEAGAN	0.02	48985
706	AUDRA	0.02	48985
707	MATILDA	0.02	48985
708	LEILA	0.02	48985
709	CORNELIA	0.02	48985
710	BIANCA	0.02	48985
711	SIMONE	0.02	48985
712	BETTYE	0.02	48985
713	RANDI	0.02	48985
714	VIRGIE	0.02	48985
715	LATISHA	0.02	48985
716	BARBRA	0.02	48985
717	GEORGINA	0.02	48985
718	ELIZA	0.02	48985
719	LEANN	0.02	48985
720	BRIDGETTE	0.02	48985
721	RHODA	0.01	45720
722	HALEY	0.01	45720
723	ADELA	0.01	45720
724	NOLA	0.01	45720
725	BERNADINE	0.01	45720
726	FLOSSIE	0.01	45720
727	ILA	0.01	45720
728	GRETA	0.01	45720
729	RUTHIE	0.01	45720
730	NELDA	0.01	45720
731	MINERVA	0.01	45720
732	LILLY	0.01	45720
733	TERRIE	0.01	45720
734	LETHA	0.01	45720
735	HILARY	0.01	45720
736	ESTELA	0.01	45720
737	VALARIE	0.01	45720
738	BRIANNA	0.01	45720
739	ROSALYN	0.01	45720
740	EARLINE	0.01	45720
741	CATALINA	0.01	45720
742	AVA	0.01	45720
743	MIA	0.01	45720
744	CLARISSA	0.01	45720
745	LIDIA	0.01	45720
746	CORRINE	0.01	45720
747	ALEXANDRIA	0.01	45720
748	CONCEPCION	0.01	45720
749	TIA	0.01	45720
750	SHARRON	0.01	45720
751	RAE	0.01	45720
752	DONA	0.01	45720
753	ERICKA	0.01	45720
754	JAMI	0.01	45720
755	ELNORA	0.01	45720
756	CHANDRA	0.01	45720
757	LENORE	0.01	45720
758	NEVA	0.01	42454
759	MARYLOU	0.01	42454
760	MELISA	0.01	42454
761	TABATHA	0.01	42454
762	SERENA	0.01	42454
763	AVIS	0.01	42454
764	ALLIE	0.01	42454
765	SOFIA	0.01	42454
766	JEANIE	0.01	42454
767	ODESSA	0.01	42454
768	NANNIE	0.01	42454
769	HARRIETT	0.01	42454
770	LORAINE	0.01	42454
771	PENELOPE	0.01	42454
772	MILAGROS	0.01	42454
773	EMILIA	0.01	42454
774	BENITA	0.01	42454
775	ALLYSON	0.01	42454
776	ASHLEE	0.01	42454
777	TANIA	0.01	42454
778	TOMMIE	0.01	42454
779	ESMERALDA	0.01	42454
780	KARINA	0.01	42454
781	EVE	0.01	42454
782	PEARLIE	0.01	42454
783	ZELMA	0.01	42454
784	MALINDA	0.01	42454
785	NOREEN	0.01	42454
786	TAMEKA	0.01	42454
787	SAUNDRA	0.01	42454
788	HILLARY	0.01	42454
789	AMIE	0.01	42454
790	ALTHEA	0.01	39188
791	ROSALINDA	0.01	39188
792	JORDAN	0.01	39188
793	LILIA	0.01	39188
794	ALANA	0.01	39188
795	GAY	0.01	39188
796	CLARE	0.01	39188
797	ALEJANDRA	0.01	39188
798	ELINOR	0.01	39188
799	MICHAEL	0.01	39188
800	LORRIE	0.01	39188
801	JERRI	0.01	39188
802	DARCY	0.01	39188
803	EARNESTINE	0.01	39188
804	CARMELLA	0.01	39188
805	TAYLOR	0.01	39188
806	NOEMI	0.01	39188
807	MARCIE	0.01	39188
808	LIZA	0.01	39188
809	ANNABELLE	0.01	39188
810	LOUISA	0.01	39188
811	EARLENE	0.01	39188
812	MALLORY	0.01	39188
813	CARLENE	0.01	39188
814	NITA	0.01	39188
815	SELENA	0.01	39188
816	TANISHA	0.01	39188
817	KATY	0.01	39188
818	JULIANNE	0.01	39188
819	JOHN	0.01	39188
820	LAKISHA	0.01	35923
821	EDWINA	0.01	35923
822	MARICELA	0.01	35923
823	MARGERY	0.01	35923
824	KENYA	0.01	35923
825	DOLLIE	0.01	35923
826	ROXIE	0.01	35923
827	ROSLYN	0.01	35923
828	KATHRINE	0.01	35923
829	NANETTE	0.01	35923
830	CHARMAINE	0.01	35923
831	LAVONNE	0.01	35923
832	ILENE	0.01	35923
833	KRIS	0.01	35923
834	TAMMI	0.01	35923
835	SUZETTE	0.01	35923
836	CORINE	0.01	35923
837	KAYE	0.01	35923
838	JERRY	0.01	35923
839	MERLE	0.01	35923
840	CHRYSTAL	0.01	35923
841	LINA	0.01	35923
842	DEANNE	0.01	35923
843	LILIAN	0.01	35923
844	JULIANA	0.01	35923
845	ALINE	0.01	35923
846	LUANN	0.01	35923
847	KASEY	0.01	35923
848	MARYANNE	0.01	35923
849	EVANGELINE	0.01	35923
850	COLETTE	0.01	35923
851	MELVA	0.01	35923
852	LAWANDA	0.01	35923
853	YESENIA	0.01	35923
854	NADIA	0.01	35923
855	MADGE	0.01	35923
856	KATHIE	0.01	35923
857	EDDIE	0.01	35923
858	OPHELIA	0.01	35923
859	VALERIA	0.01	35923
860	NONA	0.01	35923
861	MITZI	0.01	35923
862	MARI	0.01	35923
863	GEORGETTE	0.01	35923
864	CLAUDINE	0.01	35923
865	FRAN	0.01	35923
866	ALISSA	0.01	35923
867	ROSEANN	0.01	32657
868	LAKEISHA	0.01	32657
869	SUSANNA	0.01	32657
870	REVA	0.01	32657
871	DEIDRE	0.01	32657
872	CHASITY	0.01	32657
873	SHEREE	0.01	32657
874	CARLY	0.01	32657
875	JAMES	0.01	32657
876	ELVIA	0.01	32657
877	ALYCE	0.01	32657
878	DEIRDRE	0.01	32657
879	GENA	0.01	32657
880	BRIANA	0.01	32657
881	ARACELI	0.01	32657
882	KATELYN	0.01	32657
883	ROSANNE	0.01	32657
884	WENDI	0.01	32657
885	TESSA	0.01	32657
886	BERTA	0.01	32657
887	MARVA	0.01	32657
888	IMELDA	0.01	32657
889	MARIETTA	0.01	32657
890	MARCI	0.01	32657
891	LEONOR	0.01	32657
892	ARLINE	0.01	32657
893	SASHA	0.01	32657
894	MADELYN	0.01	32657
895	JANNA	0.01	32657
896	JULIETTE	0.01	32657
897	DEENA	0.01	32657
898	AURELIA	0.01	32657
899	JOSEFA	0.01	32657
900	AUGUSTA	0.01	32657
901	LILIANA	0.01	32657
902	YOUNG	0.01	32657
903	CHRISTIAN	0.01	32657
904	LESSIE	0.01	32657
905	AMALIA	0.01	32657
906	SAVANNAH	0.01	32657
907	ANASTASIA	0.01	32657
908	VILMA	0.01	32657
909	NATALIA	0.01	32657
910	ROSELLA	0.01	32657
911	LYNNETTE	0.01	32657
912	CORINA	0.01	32657
913	ALFREDA	0.01	29391
914	LEANNA	0.01	29391
915	CAREY	0.01	29391
916	AMPARO	0.01	29391
917	COLEEN	0.01	29391
918	TAMRA	0.01	29391
919	AISHA	0.01	29391
920	WILDA	0.01	29391
921	KARYN	0.01	29391
922	CHERRY	0.01	29391
923	QUEEN	0.01	29391
924	MAURA	0.01	29391
925	MAI	0.01	29391
926	EVANGELINA	0.01	29391
927	ROSANNA	0.01	29391
928	HALLIE	0.01	29391
929	ERNA	0.01	29391
930	ENID	0.01	29391
931	MARIANA	0.01	29391
932	LACY	0.01	29391
933	JULIET	0.01	29391
934	JACKLYN	0.01	29391
935	FREIDA	0.01	29391
936	MADELEINE	0.01	29391
